time,from,to,message,translation
2020-08-09 01:24:13,Shutd0wn,lengmo,刚提笔问我这个漏洞，估计他们想用,"Just mentioned this vulnerability, I guess they want to use it."
2020-08-09 01:26:06,lengmo,Shutd0wn,无声没有,Silent Nothing
2020-08-09 01:26:22,lengmo,Shutd0wn,让TB 找张瑞东啊，又不是不认识,"Let TB find Zhang Ruidong, it's not like they don't know each other."
2020-08-09 01:26:37,lengmo,Shutd0wn,我们参与啥,What are we participating in?
2020-08-09 01:27:09,lengmo,Shutd0wn,如果是我们重要客户，这个漏洞，之前和张瑞东说过，可以用,"If you are an important client of ours, this vulnerability can be fixed as previously discussed with Zhang Ruidong."
2020-08-09 01:28:02,Shutd0wn,lengmo,估计是不想找,I guess they don't want to find
2020-08-09 01:28:47,lengmo,Shutd0wn,我们其实也不想找,We actually don't want to find.
2020-08-09 01:28:58,Shutd0wn,lengmo,是的,Yes
2020-08-09 01:29:06,lengmo,Shutd0wn,不过有的环境下，对我们意义不大,"However, in some environments, it is of little significance to us."
2020-08-09 01:29:32,lengmo,Shutd0wn,总不能让我们去给他们找，没意义,"We can't let ourselves look for them, it's meaningless."
2020-08-09 01:29:45,Shutd0wn,lengmo,他和赵晋龙觉得这个洞价值高,He and Zhao Jinlong think that this cave is of high value.
2020-08-09 01:30:05,lengmo,Shutd0wn,看场景,Look at the situation
2020-08-09 01:30:30,lengmo,Shutd0wn,之前他们用这个，主要搞菠菜的客服电脑,"Before they used this, mainly for customer service computers for spinach."
2020-08-09 01:31:26,lengmo,Shutd0wn,我们现在挖了个菠菜客户系统的一个漏洞，想通过这个漏洞，也可以通过钓鱼搞定客服电脑，成功率也很高，最近搞了好几个,"We have now discovered a vulnerability in the spinach customer system, and we can exploit this vulnerability to hack into customer service computers through phishing. The success rate is also very high. We have successfully hacked into several recently."
2020-08-09 01:31:37,Shutd0wn,lengmo,嗯,Hmm
2020-08-09 01:31:42,lengmo,Shutd0wn,谢阳他们组挖的，其实还是可以,"Thank you, they can still dig."
2020-08-09 01:31:55,Shutd0wn,lengmo,所以说各有各的办法,So everyone has their own way.
2020-08-09 01:31:59,lengmo,Shutd0wn,我们小伙子很多钓鱼都不错,Many of our boys are good at fishing.
2020-08-09 01:32:05,Shutd0wn,lengmo,提笔他们总是盯着别人的办法,They always pay attention to how others do it.
2020-08-09 01:32:07,Shutd0wn,lengmo,[Facepalm],Facepalm
2020-08-09 01:32:08,lengmo,Shutd0wn,所以不觉得特别牛逼,So nothing feels particularly awesome.
2020-08-09 01:32:29,lengmo,Shutd0wn,很多对TZ重要的人，会用QQ？,"Many important people to TZ, use QQ?"
2020-08-09 01:32:32,lengmo,Shutd0wn,意义不大,Not very meaningful
2020-08-09 01:32:53,lengmo,Shutd0wn,用的多的，估计都是客服类的人,Most commonly used by customer service professionals.
2020-08-10 08:04:13,Shutd0wn,lengmo,盘古出的题目我们这谁对接,Who is responsible for the question provided by Pangu?
2020-08-10 08:07:57,lengmo,Shutd0wn,我问下黄乐,I asked Huang Le.
2020-08-10 10:26:34,Shutd0wn,lengmo,云南安洵白卓股份冻结那个事，网上只能查到冻结，没有解冻的信息，能不能问问他情况，目前是否解冻了，如果解冻了给个解冻的凭据,"Yunnan Anxun Baizhuo Co., Ltd. has been frozen, but only the information about the freezing can be found online, with no information about the thawing. Can you please ask about the situation and whether it has been thawed out? If it has been thawed, please provide proof of the thawing."
2020-08-10 10:36:07,lengmo,Shutd0wn,好尴尬这个事情，我问问,"It's so embarrassing, I'll ask"
2020-08-10 10:37:32,Shutd0wn,lengmo,嗯,Hmm.
2020-08-10 10:42:15,lengmo,Shutd0wn,刚问了，说案子已经结了,"Just asked, they said the case has been closed."
2020-08-10 10:42:30,lengmo,Shutd0wn,这两个星期内就解冻,Thaw within these two weeks.
2020-08-10 10:42:38,Shutd0wn,lengmo,OK,"Yes, I can do that."
2020-08-10 10:42:52,lengmo,Shutd0wn,然后我让他看将结案书拍下给我,Then I asked him to take photos of the closing document for me.
2020-08-10 10:43:12,Shutd0wn,lengmo,也是牛逼,Awesome
2020-08-10 10:44:42,lengmo,Shutd0wn,是啊,Yes.
2020-08-10 10:44:58,lengmo,Shutd0wn,盘古那边出题，吉云辉对接,"Pangu is in charge of setting the questions, and Jiyunhui is responsible for coordinating."
2020-08-10 12:00:04,Shutd0wn,lengmo,给他了,Gave it to him
2020-08-11 01:23:30,lengmo,Shutd0wn,盘古给了几道题啊,Pangu gave a few questions.
2020-08-11 01:25:00,Shutd0wn,lengmo,3个安卓的,3 Androids
2020-08-11 01:26:01,lengmo,Shutd0wn,好的,Okay
2020-08-11 03:06:32,lengmo,Shutd0wn,,
2020-08-11 03:08:52,lengmo,Shutd0wn,大练兵这种，我们就有绝对的优势,"With such intensive military training, we have an absolute advantage."
2020-08-11 03:09:49,Shutd0wn,lengmo,[Grin][Grin][Grin],Grin Grin Grin
2020-08-11 03:10:07,lengmo,Shutd0wn,还是很牛逼,Still very powerful
2020-08-11 03:10:12,Shutd0wn,lengmo,嗯,Hmm
2020-08-11 03:10:36,lengmo,Shutd0wn,,
2020-08-11 03:10:57,lengmo,Shutd0wn,部里面最近要下发演训的平台的指导意见,The department is about to issue guidance on the training platform.
2020-08-11 03:11:16,lengmo,Shutd0wn,让我们参加给指导意见,Let us participate in giving advice
2020-08-11 03:11:31,lengmo,Shutd0wn,说我们在培训这块做的比较好，全国都比较认可,"They say we excel in the field of training, and our reputation is recognized nationwide."
2020-08-11 03:13:47,Shutd0wn,lengmo,嗯嗯,Hmm
2020-08-11 03:15:07,lengmo,Shutd0wn,以后就看大家队伍能力了,It will depend on the team's abilities in the future.
2020-08-11 03:15:14,lengmo,Shutd0wn,技术团队很重要,The technical team is very important.
2020-08-11 03:19:10,lengmo,Shutd0wn,,
2020-08-11 03:19:26,lengmo,Shutd0wn,怪不得很多地市找我们··原来部里面出了要求,No wonder many cities are reaching out to us... turns out the department has issued a request.
2020-08-11 03:19:40,Shutd0wn,lengmo,挺好啊，我们市场步伐跟紧,"Pretty good, our market pace is keeping up."
2020-08-11 03:20:01,Shutd0wn,lengmo,搭上这个政策对我们发展很重要,It is very important for our development to follow this policy.
2020-08-11 03:43:36,lengmo,Shutd0wn,据说三所都在外面培训了,It is said that all three are training outside.
2020-08-11 03:43:48,lengmo,Shutd0wn,10个人以内，4天，20W,"Within 10 people, 4 days, 200,000."
2020-08-11 03:44:07,lengmo,Shutd0wn,一所三所是部里面指定的能力验证的单位,"One, two, three departments are designated units for competency verification within the department."
2020-08-11 03:44:19,lengmo,Shutd0wn,我们打算收他们一半的费用··,We plan to charge them half the fee.
2020-08-11 03:44:26,lengmo,Shutd0wn,10个人以内，5天，10万,"Within 10 people, 5 days, 100,000."
2020-08-11 03:44:48,Shutd0wn,lengmo,嗯，5天好，带周末了,"Hmm, 5 days, with the weekend."
2020-08-11 03:44:50,lengmo,Shutd0wn,20W 很多地方都嫌贵,Many places are considered expensive.
2020-08-11 03:45:10,lengmo,Shutd0wn,10W 差不多是他们接受的范围,10W is about the range they are willing to accept.
2020-08-11 03:45:29,lengmo,Shutd0wn,安洵学院要开始挣钱了··,Anxun College is going to start making money··
2020-08-11 03:46:07,lengmo,Shutd0wn,最好 30个人开班,It is better to have 30 people in a class.
2020-08-11 03:52:21,lengmo,Shutd0wn,还有个事，那个我们今年的团建工作，我打算以慈善扶贫加团建的方式来做,"There is one more thing, I plan to combine charity and poverty alleviation with team building for our team building work this year."
2020-08-11 03:52:45,Shutd0wn,lengmo,好啊，去哪扶贫,"Okay, where to go for poverty alleviation?"
2020-08-11 03:52:47,Shutd0wn,lengmo,星际？,Interstellar?
2020-08-11 03:53:09,lengmo,Shutd0wn,之前政法委的一个处长，8月底9月初，要下去到一个县当县长····我准备和那个县联合搞,"The director of the political and legal committee, at the end of August and the beginning of September, is going to a county to serve as the county head. I am preparing to work together with that county."
2020-08-11 03:53:13,Shutd0wn,lengmo,嗯,Hmm
2020-08-11 03:53:18,Shutd0wn,lengmo,挺好的，可以,"It's fine, okay."
2020-08-11 03:53:25,lengmo,Shutd0wn,几方合作共赢,Win-win cooperation from all parties.
2020-08-11 03:53:30,lengmo,Shutd0wn,县里面牵头,Lead in the county
2020-08-11 03:53:59,lengmo,Shutd0wn,我们公司的，我是想，譬如我们代表公司捐点现金和给学校捐点办公用品和学习用品,"Our company, I was thinking, for example, we can donate some cash on behalf of the company and donate some office supplies and learning materials to the school."
2020-08-11 03:54:05,Shutd0wn,lengmo,要得，这个事要做就做漂亮些，该投入就投入，宁可多花点钱,"To do it, do it better, invest when needed, rather spend a little more money."
2020-08-11 03:54:17,lengmo,Shutd0wn,然后公司员工自愿捐赠或者将不需要的捐给学生,Then employees of the company can either donate voluntarily or give away items they do not need to students.
2020-08-11 03:54:24,lengmo,Shutd0wn,要有意义点,Be more meaningful
2020-08-11 03:54:33,lengmo,Shutd0wn,刚好我们有这个关系··,"Just by chance, we have this relationship."
2020-08-11 03:54:54,lengmo,Shutd0wn,是个企业担当,Is an enterprise duty.
2020-08-11 03:55:03,Shutd0wn,lengmo,嗯,Hmm
2020-08-11 03:55:06,lengmo,Shutd0wn,后面说不定也有生意,There might be business opportunities later on.
2020-08-11 03:55:18,lengmo,Shutd0wn,你觉得我们大概投入多少呢··,How much do you think we should invest approximately?
2020-08-11 03:55:22,lengmo,Shutd0wn,我之前想的 10W ？,What did I previously think 10W?
2020-08-11 03:55:54,Shutd0wn,lengmo,可以多点，现金捐赠可以多点，20也可以啊，总比去KTV扶贫有意义吧,"You can donate more, cash donations can be more, 20 is also fine, it is more meaningful than going to KTV to help the poor."
2020-08-11 03:56:47,Shutd0wn,lengmo,我觉得看活动规模，公司的现金捐赠我们可以有弹性提高,"I think, judging from the scale of the event, the company's cash donation can be flexibly increased."
2020-08-11 03:56:55,lengmo,Shutd0wn,嗯··四川很多甘孜阿坝里面的学校还是很穷的,Hmm... Many schools in Ganzi and Aba regions of Sichuan Province are still very poor.
2020-08-11 03:57:14,lengmo,Shutd0wn,那个人县长是王队的亲表哥,"That person is the county mayor, who is also Wang's cousin."
2020-08-11 03:57:20,lengmo,Shutd0wn,我们关系都不错,Our relationship is fine.
2020-08-11 03:57:30,lengmo,Shutd0wn,王堰之前那个事情，也是他出面找的人··,The incident before Wang Yan also was dealt with by someone he found.
2020-08-11 03:57:44,Shutd0wn,lengmo,嗯,Hmm
2020-08-11 03:57:47,lengmo,Shutd0wn,现在省政法委的处长，说是下去锻炼,The director of the Provincial Political and Legal Committee is now said to be going down for training.
2020-08-11 03:57:51,lengmo,Shutd0wn,估计后面肯定要回来,I estimate that we will definitely come back later.
2020-08-11 03:58:20,lengmo,Shutd0wn,刚好他下去，我们去扶贫加团建,"Just as he left, we will go to help the impoverished and engage in team building."
2020-08-11 03:58:32,lengmo,Shutd0wn,直接和县里面合作，也是他的政绩,To collaborate directly with the county government is also his political achievement.
2020-08-11 03:59:04,Shutd0wn,lengmo,有初步意向后让市场部出出点子，怎么最大化达到共赢效果,"After having some preliminary intentions, let the marketing department come up with some ideas on how to maximize achieving a win-win effect."
2020-08-11 03:59:14,Shutd0wn,lengmo,我们确实也需要,We do indeed need it.
2020-08-11 04:00:11,lengmo,Shutd0wn,嗯··是啊··,Hmm...yes...
2020-08-11 04:00:23,lengmo,Shutd0wn,一帮人出去吃喝玩，去哪都一样,"A group of people go out to eat, drink, and have fun, it doesn't matter where they go."
2020-08-11 04:00:28,lengmo,Shutd0wn,不如做点有意义的,How about doing something meaningful
2020-08-11 04:01:01,lengmo,Shutd0wn,我们是四川的企业，在四川扶贫，为以后挣点印象分,"We are a company from Sichuan, helping with poverty alleviation in Sichuan, and aiming to earn some good impressions in the future."
2020-08-11 04:06:13,Shutd0wn,lengmo,对公司来说是有必要的,It is necessary for the company.
2020-08-11 04:07:19,lengmo,Shutd0wn,嗯,Yes
2020-08-11 06:31:56,Shutd0wn,lengmo,有个事你重视一下，不知道哪儿传的说我们两个关系有问题，你呢日常注意一下，同时适当表表态，不要让公司的人觉得我们关系不好啥的，导致有什么其他想法。,"There is something you should pay attention to. I don't know where this rumor came from that there is an issue with our relationship. Please pay attention in your daily interactions, and also show some appropriate gestures, so that people in the company don't think our relationship is that bad, which might lead to misunderstandings."
2020-08-11 06:32:46,lengmo,Shutd0wn,这谁说的··[Awkward],Who said that.. [Awkward]
2020-08-11 06:32:58,Shutd0wn,lengmo,目前爬坡关键时刻，整体团结第一，不能内部有问题，技术部有点政策变动就有人要走，所以管理还是很微妙的,"Currently, we are at a critical moment in climbing the slope. Unity as a whole is the top priority, there should be no internal issues. Whenever there is a slight policy change in the technical department, someone wants to leave, so management is still very delicate."
2020-08-11 06:33:18,Shutd0wn,lengmo,我怀疑是外部的人传进来的,I suspect it was brought in by an outsider.
2020-08-11 06:33:25,Shutd0wn,lengmo,不过你也别追究了,But you shouldn't pursue it.
2020-08-11 06:33:48,lengmo,Shutd0wn,嗯··,Hmm
2020-08-11 06:33:49,lengmo,Shutd0wn,好的,Okay
2020-08-11 06:47:52,lengmo,Shutd0wn,奇安信那个投资款是不是要等到年底了·,Does Qianxin's investment require waiting until the end of the year?
2020-08-11 06:48:25,lengmo,Shutd0wn,最近不是一直资金紧张嘛，下面很多部门的申请付款都压着了···,"Recently, there has been a shortage of funds, so many departments' payment requests are being delayed..."
2020-08-11 06:48:58,Shutd0wn,lengmo,目前判断是这样的，时间锁定五个月的嘛，刚好年底前,"Currently, the assessment is that the time frame is set for five months, just before the end of the year."
2020-08-11 06:49:31,lengmo,Shutd0wn,这个看业绩，是怎么看,How do you evaluate this in terms of performance?
2020-08-11 06:49:42,lengmo,Shutd0wn,刚财务说，目前，销售业绩不是很理想,"Just now the finance department said that currently, the sales performance is not very ideal."
2020-08-11 06:50:38,Shutd0wn,lengmo,利润为正，业绩比去年有较大增长，不低于6000万,"Profit is positive, performance growth is significantly higher than last year, not less than 60 million."
2020-08-11 06:50:56,Shutd0wn,lengmo,应该不算太高要求,It shouldn't be too high of a demand.
2020-08-11 06:51:13,Shutd0wn,lengmo,这个是基本要求,This is a basic requirement.
2020-08-11 06:51:41,Shutd0wn,lengmo,现金流是比较紧张啊，正现金流不多，支出一分没少,"Cash flow is tight right now. There is not much positive cash flow, and expenses have not been reduced at all."
2020-08-11 06:53:02,Shutd0wn,lengmo,具体情况我让陶婷婷给你汇报吧,I'll let Tao Tingting report the specific situation to you.
2020-08-11 06:53:24,lengmo,Shutd0wn,嗯··现在很多项目，都比较尴尬··都是签好后，先交付产品，交付完，付 70%,"Hmm... Now many projects are quite awkward... After signing the contract, they deliver the product first. Once delivered, 70% of the payment is made."
2020-08-11 06:53:44,lengmo,Shutd0wn,然后我们又是总包，要等其他家的一起交付··,"Then we are the general contractor, we have to wait for the delivery together with the other companies."
2020-08-11 06:53:56,lengmo,Shutd0wn,陕西的项目就被安胜坑比了··,The project in Shaanxi was overpowered by Ansheng··
2020-08-11 06:54:12,lengmo,Shutd0wn,3月份就让验收，一直到7月底才交付··,"The acceptance will be carried out in March, delivery will only be made by the end of July."
2020-08-11 11:38:07,lengmo,Shutd0wn,,
2020-08-11 11:38:37,lengmo,Shutd0wn,这个人是永信的那谁么,Who is that person from Yongxin?
2020-08-11 11:39:10,Shutd0wn,lengmo,谁,Who
2020-08-11 11:39:23,Shutd0wn,lengmo,我微信里没这个人,I don't have this person on my WeChat.
2020-08-11 11:40:04,lengmo,Shutd0wn,不知道哪家公司的,I don't know which company.
2020-08-12 03:15:23,lengmo,Shutd0wn,今年大环境和机遇都很好，但因为疫情，收款和实际项目落地，还是遇到问题,"This year, the overall environment and opportunities are very good, but due to the epidemic, we encountered issues with receiving payments and implementing actual projects."
2020-08-12 03:15:34,lengmo,Shutd0wn,需求很多，找我们的也很多,"There are many demands, and there are also many people looking for us."
2020-08-12 03:15:46,lengmo,Shutd0wn,就是青黄不接的时候,When there is no successor available
2020-08-13 04:54:48,Shutd0wn,lengmo,吉芸辉的二组开始接管了吗,Has the second team of Yiguihui started taking over?
2020-08-13 04:55:06,lengmo,Shutd0wn,转了三个人，研发留了一个人,"Three people have been transferred, and one person has stayed for research and development."
2020-08-13 04:55:31,Shutd0wn,lengmo,嗯，王堰那边也可以考虑增加一组人,"Hmm, we can also consider adding another group of people on Wang Yan's side."
2020-08-13 04:56:23,lengmo,Shutd0wn,嗯,Hmm
2020-08-13 04:56:29,lengmo,Shutd0wn,王堰带？,Wang Yan belt?
2020-08-13 04:56:41,lengmo,Shutd0wn,一组确实发展有点受限,A group that is indeed somewhat limited in development.
2020-08-13 04:57:37,Shutd0wn,lengmo,是的，石头带，几点考虑，1，让石头在公司业务中有参与感，2，多一组人做专门方向支撑业务总归是好的,"Yes, the idea of bringing in Stone has some considerations. 1. Giving Stone a sense of participation in the company's business. 2. Having an additional group of people dedicated to supporting the business in any case is a good idea."
2020-08-13 04:58:01,Shutd0wn,lengmo,这一组人做专门方向，做深度不做广度,"This group of people specializes in a specific direction, focusing on depth instead of breadth."
2020-08-13 04:58:41,lengmo,Shutd0wn,就是人员啊，不好招,It's really difficult to recruit staff.
